#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:75 out:76 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:213 misc:205 imb:0 pmb:15 smb:1185 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:29.26 aq:21.24 tex:2053 mv:679 misc:228 imb:10 pmb:45 smb:1145 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:29.26 aq:14.71 tex:237 mv:520 misc:235 imb:1 pmb:28 smb:1171 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:29.26 aq:22.68 tex:80 mv:270 misc:202 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:288 misc:194 imb:0 pmb:19 smb:1181 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:29.26 aq:13.22 tex:1715 mv:670 misc:247 imb:5 pmb:50 smb:1145 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:29.26 aq:13.60 tex:82 mv:415 misc:239 imb:1 pmb:27 smb:1172 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:22 mv:250 misc:192 imb:4 pmb:12 smb:1184 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:29.26 aq:22.00 tex:56 mv:120 misc:200 imb:0 pmb:12 smb:1188 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:29.26 aq:21.28 tex:1772 mv:599 misc:245 imb:4 pmb:44 smb:1152 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:29.26 aq:24.03 tex:136 mv:322 misc:238 imb:0 pmb:19 smb:1181 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:14 mv:168 misc:194 imb:0 pmb:12 smb:1188 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:29.26 aq:23.75 tex:91 mv:99 misc:162 imb:0 pmb:6 smb:1194 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:29.26 aq:21.43 tex:1908 mv:582 misc:246 imb:4 pmb:43 smb:1153 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:29.26 aq:21.86 tex:185 mv:194 misc:229 imb:0 pmb:16 smb:1184 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:7 mv:91 misc:174 imb:0 pmb:7 smb:1193 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:2 mv:30 misc:152 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:29.26 aq:21.71 tex:2459 mv:612 misc:249 imb:4 pmb:50 smb:1146 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:29.26 aq:23.51 tex:272 mv:224 misc:232 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:29.26 aq:24.40 tex:135 mv:18 misc:159 imb:1 pmb:2 smb:1197 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:29.26 aq:22.53 tex:2135 mv:632 misc:249 imb:4 pmb:52 smb:1144 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:29.26 aq:23.48 tex:286 mv:273 misc:241 imb:1 pmb:18 smb:1181 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:29.26 aq:21.07 tex:2847 mv:630 misc:243 imb:14 pmb:45 smb:1141 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:29.26 aq:14.01 tex:420 mv:514 misc:258 imb:3 pmb:30 smb:1167 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:5 mv:52 misc:175 imb:0 pmb:3 smb:1197 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:29.26 aq:24.85 tex:59 mv:189 misc:192 imb:0 pmb:12 smb:1188 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:29.26 aq:23.90 tex:3321 mv:765 misc:282 imb:22 pmb:42 smb:1136 d:- ref:0 w:7,117,1 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:29.26 aq:23.88 tex:348 mv:785 misc:259 imb:1 pmb:46 smb:1153 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:10 mv:218 misc:196 imb:0 pmb:11 smb:1189 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:29.26 aq:21.21 tex:217 mv:285 misc:202 imb:1 pmb:24 smb:1175 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:29.26 aq:24.27 tex:3324 mv:761 misc:227 imb:35 pmb:34 smb:1131 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:29.26 aq:23.61 tex:565 mv:1044 misc:231 imb:4 pmb:55 smb:1141 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:29.26 aq:23.40 tex:159 mv:521 misc:216 imb:1 pmb:27 smb:1172 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.26 aq:24.01 tex:170 mv:457 misc:221 imb:3 pmb:28 smb:1169 d:- ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:29.26 aq:16.53 tex:2989 mv:752 misc:243 imb:41 pmb:34 smb:1125 d:- ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:29.26 aq:23.81 tex:674 mv:733 misc:249 imb:3 pmb:40 smb:1157 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:29.26 aq:23.57 tex:386 mv:519 misc:255 imb:4 pmb:28 smb:1168 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.26 aq:17.36 tex:2046 mv:627 misc:271 imb:23 pmb:39 smb:1138 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:29.26 aq:21.75 tex:1773 mv:735 misc:284 imb:24 pmb:41 smb:1135 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:29.26 aq:22.96 tex:648 mv:598 misc:258 imb:6 pmb:39 smb:1155 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:29.26 aq:24.07 tex:221 mv:642 misc:241 imb:5 pmb:38 smb:1157 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:29.26 aq:25.02 tex:266 mv:377 misc:253 imb:3 pmb:28 smb:1169 d:- ref:0 ;
in:121 out:121 type:I dur:2 cpbdur:2 q:26.35 aq:6.81 tex:4682 mv:1659 misc:387 imb:1200 pmb:0 smb:0 d:- ref:;
in:125 out:122 type:P dur:2 cpbdur:2 q:29.26 aq:19.18 tex:1648 mv:695 misc:257 imb:20 pmb:42 smb:1138 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:29.26 aq:22.81 tex:123 mv:565 misc:232 imb:0 pmb:45 smb:1155 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:22 mv:388 misc:246 imb:0 pmb:33 smb:1167 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:29.26 aq:19.85 tex:92 mv:469 misc:239 imb:1 pmb:37 smb:1162 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:29.26 aq:19.72 tex:1985 mv:765 misc:242 imb:25 pmb:41 smb:1134 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:29.26 aq:18.53 tex:183 mv:549 misc:268 imb:1 pmb:41 smb:1158 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:17 mv:362 misc:245 imb:0 pmb:30 smb:1170 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:29.26 aq:24.03 tex:98 mv:388 misc:242 imb:0 pmb:29 smb:1171 d:- ref:0 ;
in:133 out:130 type:P dur:2 cpbdur:2 q:29.26 aq:15.37 tex:1699 mv:677 misc:256 imb:25 pmb:35 smb:1140 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:29.26 aq:15.85 tex:247 mv:507 misc:270 imb:1 pmb:42 smb:1157 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:29.26 aq:22.22 tex:87 mv:387 misc:254 imb:0 pmb:31 smb:1169 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:24 mv:385 misc:231 imb:1 pmb:30 smb:1169 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:29.26 aq:20.40 tex:1844 mv:693 misc:271 imb:15 pmb:41 smb:1144 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:29.26 aq:21.99 tex:177 mv:643 misc:260 imb:0 pmb:49 smb:1151 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:29.26 aq:20.63 tex:71 mv:442 misc:239 imb:0 pmb:36 smb:1164 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:16 mv:440 misc:248 imb:0 pmb:35 smb:1165 d:- ref:0 ;
