#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:75 out:76 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:13 mv:202 misc:201 imb:0 pmb:14 smb:1186 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:29.26 aq:20.69 tex:1902 mv:672 misc:234 imb:9 pmb:45 smb:1146 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:29.26 aq:14.78 tex:277 mv:496 misc:235 imb:3 pmb:27 smb:1170 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:29.26 aq:23.68 tex:91 mv:288 misc:205 imb:0 pmb:18 smb:1182 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:29.26 aq:17.59 tex:76 mv:200 misc:180 imb:2 pmb:15 smb:1183 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:29.26 aq:19.51 tex:1702 mv:633 misc:257 imb:7 pmb:45 smb:1148 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:29.26 aq:23.12 tex:222 mv:369 misc:241 imb:0 pmb:25 smb:1175 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:20 mv:212 misc:192 imb:2 pmb:13 smb:1185 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:11 mv:129 misc:188 imb:0 pmb:12 smb:1188 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:29.26 aq:21.03 tex:1700 mv:574 misc:246 imb:4 pmb:44 smb:1152 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:29.26 aq:22.78 tex:68 mv:330 misc:226 imb:1 pmb:17 smb:1182 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:29.26 aq:24.27 tex:61 mv:161 misc:194 imb:0 pmb:11 smb:1189 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:7 mv:97 misc:160 imb:0 pmb:5 smb:1195 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:29.26 aq:21.43 tex:1933 mv:570 misc:241 imb:2 pmb:49 smb:1149 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:29.26 aq:22.38 tex:155 mv:180 misc:209 imb:0 pmb:13 smb:1187 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:9 mv:90 misc:165 imb:0 pmb:8 smb:1192 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:29.26 aq:21.53 tex:2442 mv:595 misc:251 imb:10 pmb:44 smb:1146 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:29.26 aq:23.46 tex:400 mv:250 misc:230 imb:1 pmb:18 smb:1181 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:29.26 aq:23.93 tex:61 mv:3 misc:152 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:29.26 aq:14.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:29.26 aq:22.53 tex:2118 mv:553 misc:249 imb:14 pmb:40 smb:1146 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:29.26 aq:22.94 tex:270 mv:263 misc:235 imb:0 pmb:20 smb:1180 d:- ref:0 ;
