#options: 640x480 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:43 out:44 type:b dur:2 cpbdur:2 q:29.26 aq:22.21 tex:336 mv:785 misc:271 imb:1 pmb:57 smb:1142 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:29.26 aq:13.78 tex:6983 mv:1459 misc:294 imb:35 pmb:90 smb:1075 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:29.26 aq:21.94 tex:1270 mv:1459 misc:327 imb:1 pmb:92 smb:1107 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:29.26 aq:21.22 tex:321 mv:833 misc:294 imb:1 pmb:55 smb:1144 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:29.26 aq:23.83 tex:313 mv:743 misc:280 imb:2 pmb:50 smb:1148 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:29.26 aq:12.54 tex:6626 mv:1469 misc:305 imb:21 pmb:100 smb:1079 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:29.26 aq:14.90 tex:761 mv:1415 misc:352 imb:2 pmb:87 smb:1111 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:29.26 aq:22.04 tex:321 mv:728 misc:279 imb:1 pmb:51 smb:1148 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:29.26 aq:20.02 tex:170 mv:699 misc:283 imb:1 pmb:50 smb:1149 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:29.26 aq:16.56 tex:6308 mv:1410 misc:274 imb:26 pmb:104 smb:1070 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:29.26 aq:22.40 tex:824 mv:1253 misc:315 imb:3 pmb:81 smb:1116 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:29.26 aq:22.25 tex:179 mv:670 misc:295 imb:0 pmb:49 smb:1151 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.26 aq:24.50 tex:262 mv:552 misc:290 imb:0 pmb:45 smb:1155 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:29.26 aq:17.15 tex:5639 mv:1383 misc:290 imb:22 pmb:97 smb:1081 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:29.26 aq:21.71 tex:1106 mv:1053 misc:305 imb:1 pmb:70 smb:1129 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:29.26 aq:18.66 tex:230 mv:594 misc:280 imb:1 pmb:40 smb:1159 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:29.26 aq:18.46 tex:550 mv:645 misc:277 imb:4 pmb:44 smb:1152 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:29.26 aq:18.42 tex:6812 mv:1373 misc:287 imb:35 pmb:97 smb:1068 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:29.26 aq:17.07 tex:1055 mv:1079 misc:322 imb:2 pmb:71 smb:1127 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:29.26 aq:17.42 tex:567 mv:650 misc:255 imb:2 pmb:42 smb:1156 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:29.26 aq:19.34 tex:418 mv:595 misc:275 imb:2 pmb:38 smb:1160 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:29.26 aq:13.22 tex:4778 mv:1338 misc:332 imb:22 pmb:100 smb:1078 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:29.26 aq:16.21 tex:386 mv:875 misc:299 imb:2 pmb:57 smb:1141 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:29.26 aq:14.97 tex:125 mv:399 misc:252 imb:2 pmb:26 smb:1172 d:- ref:0 ;
